,SDGs 01,SDGs 02,SDGs 03,SDGs 04,SDGs 05,SDGs 06,SDGs 07,SDGs 08,SDGs 09,SDGs 10,SDGs 11,SDGs 12,SDGs 13,SDGs 14,SDGs 15,SDGs 16,SDGs 17
,social care,farm management,chikungunya outbreak,inclusive* attitude*,Intersecting gender ,groundwater efficient,dish,International labour Organization Convention 182,factories* energy* efficien*,financial aid,historical heritage,manage*,CO 2 photocatalytic conversion,cooling water,Diceros bicornis,elder neglect,impactful
,social care service,farm women,chikungunya outbreaks,inclusive* classroom*,intersectional*,groundwater harvesting,dish concentrator*,international labour standards,factories* energy* saving*,financial assistance,historical landscape,management,CO 2 photocatalytic reduction,cooperative management,dikerogammarus villosus,elderly abuse,implement*
,social exclusion,farm*,chikungunya pandemic,inclusive* educational* programme*,ipv,groundwater irrigation,dish solar collector*,international trade,factory,financial contagion,historical landscapes,management of waste,CO 2 photoreduction,copepod*,Dinacoma caseyi,election fraud,implementation strateg*
,social insurance,farm-,chikungunya pandemics,inclusiveness,IT fields,groundwater management,dish-washer*,investment-specific technological change,Factory automation,financial flow,historical masonry,manufacturing,CO 2 pipeline,coral,Diomedea amsterdamensis,electoral accountability,implementation system*
,social investment,farmer varieties,China,increase,IT* enrollment*,groundwater pollutants,dishwasher*,investmentspecific technological change,factory waste,financial flows,historical monument,marine stewardship council,CO 2 pipelines,coral bleaching,Dipodomys heermanni morroensis,electoral corruption,import competition
,social justice,farmer*,cholera,increased,IT* enrolment*,groundwater pollution,distributed generat*,irrigation water productivity,factory wastes,Financial Services Authority,historical monuments,material footprint,CO 2 price,coral calcification,Dipodomys ingens,electoral fraud,import-export
,social policies,farmers in developing countries,cholera control,increased access,its enrollment,groundwater production,distributed grid,job,factory* energy* efficien*,financing of terrorism,historical mortars,medical waste,CO 2 prices,coral gables,Dipodomys merriami parvus,electoral manipulation,improved strateg*
,social policies for the poor,farmers' access,cholera epidemic,increased* competenc*,laparoscopic,groundwater protection,distribution intelligence,job creation,factory* energy* saving*,food aid,historical painting,methane* emission*,CO 2 pricing,Coral Sea,Dipodomys nitratoides nitratoides,electoral manipulations,incentive
,social policy,farmers' indigenous knowledge,cholera epidemics,increasing,law,Groundwater quality,district,job displacement,fair trade,food assistance,historical paintings,microstickies,CO 2 quota,coral* reef*,Discus macclintocki,electoral violence,inclusive
,social programs,farmers' markets,cholera model,increasing access,laws,groundwater rehabilitation,district energy,job insecurity,fair work,food bank,historical reconstruction,mineral*,CO 2 recycling,corals,distribution of benefits,electronic democracy,increas*
,social programs for the poor,farmers'market*,cholera models,indigenous,leadership,groundwater restoration,district heating,job search,fast manufacturing,food banks,historical site,minimis*,CO 2 reduction,coregon*,DNA,electronic governance,increase use
,social protection,Farmers's response,cholera outbreak,indigenous education,Legal mobilization,groundwater savings,district heating*,job stability,fast prototyping,forced emigrant,historical sites,minimis* food* waste*,CO 2 reformation,Corexit,dog,electronic government,increased demand
,social safeguard,farming,cholera outbreaks,Indoor* air* quality*,legal* framework*,groundwater supply,divertor,job*,fast-tool servo,forced emigrants,historical structures,minimisation of waste,CO 2 reforming,COREXIT,dogs,electronic participation,increased implementation capabilit*
,social safety,farming communit*,cholera pandemic,Indoor* environment* quality*,Legislation for women,groundwater use efficiency,dmfc,job* hazard*,fasttool servo,forced emigration,home improvements,minimise waste,CO 2 remediation,Countervail* Measure*,dreissena polymorpha,embezzlement,increased implementation capacity
,social security,farming households,cholera pandemics,inequal*,legislation*,Groundwater vulnerability,dmfcs,jobs,fdm 3d,forced immigrant,homeless*,minimiz*,CO 2 removal,crab,Drepanoptila holosericea,embezzlements,increased use
,social security retirement,farming rights,cholera prevention,inequalities in education,legislator*,groundwater well,DNA,knowledge accumulation,fdm parts,forced immigrants,homeownership,minimize waste,CO 2 replacement,Crabeater Seal,drivers of deforestation,emotional abuse,increasing implementation capabilit*
,Social vulnerability assessment,farming systems,cholera transmission,inequality,legislature*,groundwater wells,domestic PV,Knowledge Based Economy,fdm* process*,forced immigration,hope vi,mining* sustainab*,CO 2 scrubber,Crabeater Seals,Dromus dromas,emotional maltreatment,increasing implementation capacity
,Social vulnerability index,farming* communit*,cholera treatment,inequality in education,liberal feminism,groundwater*,domestic solar,knowledge creation,female employment,forced migrant,housing,montreal process,CO 2 scrubbers,crabs,Drosophila heteroneura,emotional violence,increasing use
,social welfare,farms,cholera vaccination,inequities in education,lone* mother*,groundwaters,domotic*,kuznets,femoral,forced migrants,housing affordability,MSC certification,CO 2 scrubbing,Crassostrea,dryland conservation,employee involvement,indebtness
,social* assistance*,feed,cholera vaccine,inequity in education,Machismo,groundwaters clean up,double-layer capacitor*,kyoto protocol,femur,forced migration,housing allowance,MSW management,CO 2 separation,Crassostrea gigas,dryland management,employee participation,India
,social* polic*,feed intake,cholera vaccines,information* and* communications* program*,Madam president,groundwaters cleanup,doubly-fed,kyoto* mechanism*,financement,foreign aid,housing allowances,MSW processing,CO 2 sequestration,crassostrea*,dryland restoration,employee representation,indicator*
,social* program*,female exposure,cigarette,infrastructure,mainstreaming gender,groundwaters protection,downhole heat exchange*,kyoto* target*,Financial access,foreign assistance,housing association,MSW* incinerat*,CO 2 sequestration program,crayfish*,drylands,engaged citizen,Indonesia
,social* right*,Female farm household,cigarette dependence,initiatives of inclusion,male dominate,groundwaters rehabilitation,doze mode,labor,Financial Inclusion,foreign direct investment,housing associations,mswi fly ash,CO 2 sequestration programs,cretaceous,Ducula galeata,engaged citizens,industrialized countr*
,social* service*,female farm households,cigarettes,inscreasing,male dominated,groundwaters restoration,doze state,labor and employment law,financial infrastructure,foreign direct investments,housing career,municipal solid waste,CO 2 sequestration technologies,Cretaceous,ecological,engagement of citizens,inequalit*
,SSVI,Female* agricultural* worker*,cocaine,integrated* community* school*,Male dominated occupation,haemodialysis,drill*,labor exploitation,financial service,foreign donor,housing careers ,natural* resource*,CO 2 sequestration technology,Criminal liability,ecological remediation,engagement of stakeholders,inequit*
,stigmatiz*,female* farm* worker*,cocaine abuse,integration,male domination,Haloacetic,drive train electrification,labor flexibility,financial services,foreign donors,housing choice voucher,natural* resource* management*,CO 2 spot price,Croaker,ecological restoration,engaging citizens,inequitab*
,strategies,female* farmer*,cocaine abuser,integration* barrier*,Male* responsibilit*,Haloaceto-nitrile,drive train*,labor intensive,financing,foreign investment,housing deprivation,natural* resource* policies*,CO 2 spot prices,crude oil,ecological valuation,engaging stakeholders,informal economy*
,strategy,female* head*,cocaine abusers,interactive* learning* environment*,marginalisation,Haloaceto-nitriles,drivetrain electrification,labor law,financing enterprises,foreign investments,housing development,natural* resource* policy*,CO 2 spot pricing,cruise tourism,economic account,eparticipation,informal employment*
,tanf,feminisation of agriculture,cocaine addict,intercultural awareness,marginalisation of sexuality,Haloacetonitrile,drivetrain*,labor legislation,financing firm,foreign investor,housing developments,nature-based tourism,CO 2 storage,crustacea*,economic accounts,equality act,informal job*
,telecommunication,Feminization of agriculture,cocaine addiction,international development,Marginalised,Haloacetonitriles,dry steam,labor market,financing manufacturing industry,foreign investors,housing improvement,naturebased tourism,CO 2 storage solution,cryogenian,economic valuation,equality acts,informal sector*
